title,overview
Belgorod: Fear and denial in Russian city hit by shells,Residents of Belgorod are divided on how to respond to Ukraine after the city was hit by explosions.
Ukraine war: What is Putin's plan now Luhansk has fallen?,The fall of the city of Lysychansk means the whole Luhansk region is now under Russian control.
Ukraine war in maps: Tracking the Russian invasion,Ukrainian troops are under heavy bombardment as Russian forces inch towards key targets.
Ukraine round-up: Russia takes Lysychansk and border city hit,After weeks of heavy fighting Ukraine withdrew from Lysychansk - the latest eastern city to fall.
Boris Johnson fights for political survival as Cabinet ministers quit,"Boris Johnson makes it clear he plans to stay as he reshuffles his cabinet - but critics say it is ""over"" for him."
Highland Park shooting: Suspect charged with murder over 4 July attack,"The 21-year-old is accused of firing 70 bullets onto a crowd, killing seven and wounding dozens."
Ukraine war: Market hit as Russians shell frontline city Slovyansk,"Two people died in Russian strikes on Ukraine's eastern city of Slovyansk, local officials say."
Arabs believe economy is weak under democracy,"People are losing faith in democracy to deliver economic stability across Middle East and North Africa, according to a major new survey."
"UK household energy bills to hit Â£3,000 per year",Energy price rises mean a surge in winter fuel bills are expected.
Cameron Norrie beats David Goffin to reach Wimbledon semi-finals,Cameron Norrie will play Novak Djokovic in the Wimbledon last four after a stunning fightback to beat Belgium's David Goffin in a five-set thriller.
Two million workers free from National Insurance,"Employees can now earn Â£12,570 a year before paying National Insurance tax, up from Â£9,880 a year."
"Dea-John Reid killing: I got no justice at trial, says mother",The teen who stabbed 14-year-old Dea-John Reid was convicted of manslaughter but cleared of murder.
Most only have Â£500 of savings says Lloyds boss,Charlie Nunn says many households have little buffer in their accounts for harder times ahead.
A one-off Bob Dylan recording could sell for Â£1m,A new version of the star's 1960s classic Blowin' In The Wind is expected to make Â£1m at auction.
Euro 2022: Biggest women's sporting event in European history ready for lift-off,"A record-breaking 500,000 tickets have been sold for Euro 2022, which kicks off with hosts England on Wednesday."
The Range pulls bikini and bride weight loss items,Shoppers complained that dieting wall plaques to collect Â£1 for every pound lost body shame women.
Norway calls off gas strikes that risked UK supply,The Norwegian government has stepped in to stop strikes that threatened to suspend UK gas deliveries.
Roe v Wade: Mississippi judge refuses to block abortion ban,It is part of an escalation in activity in US courts as states seek to impose abortion restrictions.
Three-legged ploughshare tortoise finds new life on rollers,Chester Zoo's new ploughshare tortoise Hope was rescued from smugglers and fitted with rollers.
Chris Mason: Can Boris Johnson survive these resignations? ,"Two of his cabinet say his government lacks integrity, but the PM is not expected to go easily."
Rishi Sunak's and Sajid Javid's resignation letters in full,How the chancellor and secretary of state for health told Boris Johnson they were quitting.
Chris Pincher: It was a mistake to appoint him - PM,The PM says a complaint was made against Chris Pincher in the Foreign Office three years ago.
The Papers: Johnson 'on brink' and 'battling for survival',The resignation of Rishi Sunak and Sajid Javid from Boris Johnson's government dominates headlines.
Ukraine war: The Russian woman rescued from a Kyiv bomb site,Russian-born Ekaterina Volkova was injured in an air strike on her apartment that killed her Ukrainian husband.
Studio Electrophonique: The council house that launched top British bands,A new film tells the story of how a Sheffield car mechanic's home doubled as Studio Electrophonique.
CEO Secrets: Airtasker boss on his email regret,"Tim Fung, co-founder and CEO of Airtasker, shares his business advice for our CEO Secrets series."
BBC pundits predict Euro 2022: Can England go all the way?,Who will win Euro 2022? Who will be the tournament's top goalscorer? Which team can cause an upset? BBC pundits predict what will happen at this summer's tournament.
Weekend burst of exercise can be enough to stay fit,"Weekend warriors who cram rather than space out their exercise quota do just fine, a study suggests."
"Pentaquarks: scientists find new ""exotic"" configurations of quarks","They hope they will help us understand the ""strong force"" that holds the insides of atoms together."
Last Supper targeted by climate protesters at Royal Academy,Four activists glued their hands to the frame of the Renaissance painting in the Piccadilly gallery.
Climate change: 'Sand battery' could solve green energy's big problem,A storage device made from sand may overcome the biggest issue in the transition to renewable energy.
Boy in sequined prom dress â€˜living his best lifeâ€™,"Korben ""living his best life"", photographed by his proud mum, has gained praise around the world."
What does egg freezing have to do with your employer?,More firms are offering so-called 'fertility benefits' but there could be hidden catches.
Sydney floods aftermath: 'Everybody is traumatised',"More than eight months of rain have fallen in the Sydney area over four days, turning roads into rivers."
Chicago shooting: Parents of two-year-old boy among victims,"Irina McCarthy and Kevin McCarthy were shot dead by a gunman, leaving their son Aiden an orphan."
Trans rescue: A future refuge for those fleeing violence,Two trans women in Amsterdam are planning a refuge in Kenya for trans people at risk all over the world.
Who needs to isolate with Covid and for how long?,"As Covid cases rise again, what does the guidance say about who should isolate and for how long?"
National Insurance: What will tax changes cost me?,People will able to keep more of their income before they start paying National Insurance.
Sidhu Moose Wala: The unsettling legacy of the rapper's protest music,It has been more than a month since the rapper was shot dead. But he is still making headlines.
Michael Sheen: I broke down hearing kids' care stories,Michael Sheen speaks to young people in care as part of a BBC investigation into the system.
Who are 'terrorists' Turkey wants from Sweden and Finland?,The BBC speaks to three people sought in return for support of Swedish and Finnish Nato membership.
"Shireen Abu Aqla: US report on journalist's death unacceptable, family says",The US has concluded the journalist was likely to have been hit by unintentional Israeli gunfire.
England v India: Time to get carried away after historic victory,"It is time to get carried away by the new England after their record win over India in the fifth Test, says chief cricket writer Stephan Shemilt."
Scottish Open: LIV Golf players branded 'hypocrites and liars' by Billy Horschel,Ian Poulter claims he does not expect a hostile reception at this week's Scottish Open but American Billy Horschel launches a scathing attack on LIV Golf's rebels.
Wimbledon: Tatjana Maria to face Ons Jabeur in semi-finals,Tatjana Maria reaches her first Grand Slam semi-final - to the delight of her eldest daughter Charlotte - and she will face Ons Jabeur.
Wimbledon: Cameron Norrie beats David Goffin in five-set thriller to reach semi-finals,Britain's Cameron Norrie reaches the Wimbledon semi-finals by fighting back to beat unseeded Belgian David Goffin in a five-set thriller.
Cameron Norrie: Wimbledon semi-finalist unrecognised by barman but now watched by royalty,"After reaching the semi-finals of a Grand Slam for the first time, Britain's Cameron Norrie is finally starting to gain more recognition after his Wimbledon exploits."
Wimbledon: Cameron Norrie on 'crazy day' as he reaches semi-finals,"Cameron Norrie says he could not help but become emotional after reaching the Wimbledon semi-finals on a ""crazy day""."
Premier League player questioned over two more rape claims against a different woman,A player arrested in north London on Monday on suspicion of rape has been questioned over two further rape allegations.
Boris Johnson vows to fight on despite resignations and calls to go,The PM remains defiant as he sacks Michael Gove and hits back at colleagues telling him to go.
Highland Park shooting suspect considered second attack,The 21-year-old suspect was able to purchase five guns despite several 'red flags' being raised.
Calls for downblousing to be made a criminal offence in England and Wales,The Law Commission wants to strengthen the law to protect victims of intimate image abuse.
"Ukraine war: 21,000 alleged war crimes being investigated, prosecutor says","A top prosecutor gave the new figure to the BBC, but admitted many trials would be held in absentia."
Call for higher animal welfare standards for Parma ham pigs,An investigation finds supermarkets sell imported ham produced under conditions banned in the UK.
Police officers 'photographed and manipulated body of suicide victim',Allegations emerge that two police officers manipulated the body and shared photos and video online.
Nigeria Kuje prison break: More than 400 missing from Abuja jail,The Islamist group Boko Haram is suspected of carrying out the attack in Abuja on Tuesday night.
